Bejaia Region Dataset ,,,,,,,,,,,,,
day,month,year,Temperature, RH, Ws,Rain ,FFMC,DMC,DC,ISI,BUI,FWI,Classes  
23,7,2012,27,66,22,0.4,68.2,10.5,71.3,1.8,15.4,2.1,not fire   
24,7,2012,28,78,16,0.1,70,9.6,79.7,1.4,14.7,1.3,not fire   
25,7,2012,31,65,18,0,84.3,12.5,88.7,4.8,18.5,7.3,fire   
26,7,2012,36,53,19,0,89.2,17.1,98.6,10,23.9,15.3,fire   
27,7,2012,36,48,13,0,90.3,22.2,108.5,8.7,29.4,15.3,fire   
10,8,2012,35,55,14,0,88.9,18.6,67,7.4,21.9,11.6,fire   
11,8,2012,35,63,13,0,88.9,21.7,77,7.1,25.5,12.1,fire   
12,8,2012,35,51,13,0.3,81.3,15.6,75.1,2.5,20.7,4.2,not fire   
13,8,2012,35,63,15,0,87,19,85.1,5.9,24.4,10.2,fire   
14,8,2012,33,66,14,0,87,21.7,94.7,5.7,27.2,10.6,fire   
15,8,2012,36,55,13,0.3,82.4,15.6,92.5,3.7,22,6.3,fire   
16,8,2012,36,61,18,0.3,80.2,11.7,90.4,2.8,17.6,4.2,fire   
17,8,2012,37,52,18,0,89.3,16,100.7,9.7,22.9,14.6,fire   
18,8,2012,36,54,18,0,89.4,20,110.9,9.7,27.5,16.1,fire   
19,8,2012,35,62,19,0,89.4,23.2,120.9,9.7,31.3,17.2,fire   
20,8,2012,35,68,19,0,88.3,25.9,130.6,8.8,34.7,16.8,fire   
21,8,2012,36,58,19,0,88.6,29.6,141.1,9.2,38.8,18.4,fire   
22,8,2012,36,55,18,0,89.1,33.5,151.3,9.9,43.1,20.4,fire   
23,8,2012,36,53,16,0,89.5,37.6,161.5,10.4,47.5,22.3,fire
24,8,2012,34,64,14,0,88.9,40.5,171.3,9,50.9,20.9,fire   
25,8,2012,35,60,15,0,88.9,43.9,181.3,8.2,54.7,20.3,fire
26,8,2012,31,78,18,0,85.8,45.6,190.6,4.7,57.1,13.7,fire 
27,8,2012,33,82,21,0,84.9,47,200.2,4.4,59.3,13.2,fire
28,8,2012,34,64,16,0,89.4,50.2,210.4,7.3,62.9,19.9,fire 
29,8,2012,35,48,18,0,90.1,54.2,220.4,12.5,67.4,30.2,fire   
30,8,2012,35,70,17,0.8,72.7,25.2,180.4,1.7,37.4,4.2,not fire   
31,8,2012,28,80,21,16.8,52.5,8.7,8.7,0.6,8.3,0.3,not fire
1,9,2012,25,76,17,7.2,46,1.3,7.5,0.2,1.8,0.1,not fire 
2,9,2012,22,86,15,10.1,30.5,0.7,7,0,1.1,0,not fire
3,9,2012,25,78,15,3.8,42.6,1.2,7.5,0.1,1.7,0,not fire   
4,9,2012,29,73,17,0.1,68.4,1.9,15.7,1.4,2.9,0.5,not fire   
5,9,2012,29,75,16,0,80.8,3.4,24,2.8,5.1,1.7,fire   
6,9,2012,29,74,19,0.1,75.8,3.6,32.2,2.1,5.6,0.9,not fire   
7,9,2012,31,71,17,0.3,69.6,3.2,30.1,1.5,5.1,0.6,not fire   
